GEOID,scenario,dest_id,dest_name,dest_type,travel_time_min,reachable
13121980000,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13121980000,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121980000,bus_rail,midtown,Midtown,job_center,57.577629661976275,TRUE
13121980000,bus_rail,downtown,Downtown,job_center,43.77762966197627,TRUE
13121980000,bus_rail,gatech,Georgia Tech,education,50.677629661976276,TRUE
13121980000,bus_rail,emory,Emory,education,163.3276296619763,TRUE
13121980000,bus_rail,grady,Grady Memorial Hospital,hospital,48.1609629953096,TRUE
13121980000,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,80.44429632864293,TRUE
13121980000,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121003700,rail_only,midtown,Midtown,job_center,NA,FALSE
13121003700,rail_only,downtown,Downtown,job_center,1,TRUE
13121003700,rail_only,gatech,Georgia Tech,education,NA,FALSE
13121003700,rail_only,emory,Emory,education,NA,FALSE
13121003700,rail_only,grady,Grady Memorial Hospital,hospital,2,TRUE
13121003700,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13121003700,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121003700,bus_rail,midtown,Midtown,job_center,20.05,TRUE
13121003700,bus_rail,downtown,Downtown,job_center,1,TRUE
13121003700,bus_rail,gatech,Georgia Tech,education,7.15,TRUE
13121003700,bus_rail,emory,Emory,education,71.05,TRUE
13121003700,bus_rail,grady,Grady Memorial Hospital,hospital,2,TRUE
13121003700,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,33.43333333333333,TRUE
13121003700,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121000700,rail_only,midtown,Midtown,job_center,NA,FALSE
13121000700,rail_only,downtown,Downtown,job_center,NA,FALSE
13121000700,rail_only,gatech,Georgia Tech,education,NA,FALSE
13121000700,rail_only,emory,Emory,education,NA,FALSE
13121000700,rail_only,grady,Grady Memorial Hospital,hospital,NA,FALSE
13121000700,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13121000700,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121000700,bus_rail,midtown,Midtown,job_center,1.9,TRUE
13121000700,bus_rail,downtown,Downtown,job_center,4.483333333333333,TRUE
13121000700,bus_rail,gatech,Georgia Tech,education,0,TRUE
13121000700,bus_rail,emory,Emory,education,32.65,TRUE
13121000700,bus_rail,grady,Grady Memorial Hospital,hospital,8.35,TRUE
13121000700,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,17.6,TRUE
13121000700,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121008203,rail_only,midtown,Midtown,job_center,NA,FALSE
13121008203,rail_only,downtown,Downtown,job_center,NA,FALSE
13121008203,rail_only,gatech,Georgia Tech,education,NA,FALSE
13121008203,rail_only,emory,Emory,education,NA,FALSE
13121008203,rail_only,grady,Grady Memorial Hospital,hospital,NA,FALSE
13121008203,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13121008203,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121008203,bus_rail,midtown,Midtown,job_center,21.616666666666667,TRUE
13121008203,bus_rail,downtown,Downtown,job_center,32.666666666666664,TRUE
13121008203,bus_rail,gatech,Georgia Tech,education,17.333333333333332,TRUE
13121008203,bus_rail,emory,Emory,education,73.8,TRUE
