GEOID,scenario,mean_tt,min_tt,max_tt,n_30,n_45,n_60
13121002801,bus_rail,5.027777777777778,0,16.683333333333334,6,6,6
13121002801,rail_only,0,0,0,4,4,4
13121002802,bus_rail,5.111111111111112,0,16.783333333333335,6,6,6
13121002802,rail_only,0.5,0,2,4,4,4
13121002900,bus_rail,5.166666666666666,0,15.5,6,6,6
13121002900,rail_only,NA,NA,NA,0,0,0
13121003000,bus_rail,18.822222222222223,5,66.33333333333333,5,5,5
13121003000,rail_only,5,5,5,2,2,2
13121003100,bus_rail,18.822222222222223,5,66.33333333333333,5,5,5
13121003100,rail_only,5,5,5,2,2,2
13121003200,bus_rail,22.51388888888889,5,75.76666666666667,5,5,5
13121003200,rail_only,5,5,5,2,2,2
13121003500,bus_rail,8.627777777777778,0,27.966666666666665,6,6,6
13121003500,rail_only,0.5,0,2,4,4,4
13121003600,bus_rail,13.797222222222222,0,55.11666666666667,5,5,6
13121003600,rail_only,1,0,3,4,4,4
13121003700,bus_rail,22.447222222222223,1,71.05,4,5,5
13121003700,rail_only,1.5,1,2,2,2,2
13121003800,bus_rail,21.030555555555555,1,70.6,4,5,5
13121003800,rail_only,1.5,1,2,2,2,2
13121003900,bus_rail,21.030555555555555,1,70.6,4,5,5
13121003900,rail_only,1.5,1,2,2,2,2
13121004000,bus_rail,30.974999999999998,4,76.23333333333333,4,4,5
13121004000,rail_only,4.5,4,5,2,2,2
13121004100,bus_rail,33.205555555555556,8.616666666666667,76.23333333333333,4,4,5
13121004100,rail_only,NA,NA,NA,0,0,0
13121004200,bus_rail,25.047222222222224,2,95.88333333333334,4,5,5
13121004200,rail_only,5,2,9,4,4,4
13121004300,bus_rail,22.447222222222223,1,71.05,4,5,5
13121004300,rail_only,1.5,1,2,2,2,2
13121004400,bus_rail,19.994444444444447,1.2333333333333334,67.93333333333334,4,5,5
13121004400,rail_only,5,2,9,4,4,4
13121004800,bus_rail,9.566666666666666,0.45,22.633333333333333,6,6,6
13121004800,rail_only,2,2,2,2,2,2
13121004900,bus_rail,9.566666666666666,0.45,22.633333333333333,6,6,6
13121004900,rail_only,2,2,2,2,2,2
13121005000,bus_rail,9.855555555555556,0.8166666666666667,22.633333333333333,6,6,6
13121005000,rail_only,2,2,2,2,2,2
13121005200,bus_rail,43.54722222222222,11.9,84.11666666666666,2,3,4
13121005200,rail_only,NA,NA,NA,0,0,0
13121005300,bus_rail,26.50277777777778,6.233333333333333,72.91666666666667,4,5,5
13121005300,rail_only,NA,NA,NA,0,0,0
13121005501,bus_rail,25.333333333333332,3.75,72.56666666666666,4,5,5
13121005501,rail_only,NA,NA,NA,0,0,0
13121005503,bus_rail,34.58611111111111,8,88.75,4,4,5
